group_number,consensus,highest_voted_ans,variance,avg_arrogance,med_arrogance,var_arrogance,avg_confidence,med_confidence,var_confidence,avg_EMAM,med_EMAM,var_EMAM,avg_EAAA,med_EAAA,var_EAAA,pca1,pca2,cluster
1,0.27369612229421125,0.36666666666666653,0.2724846962800188,0.16112544783889202,0.13664596273291926,0.5377689635072699,0.5266666666666666,0.6,0.3207934336525308,0.5037222222222222,0.5266666666666666,0.37646424844184856,0.15088888888888888,0.14277777777777778,0.06781967583603153,-0.23936754676483374,0.18420341442930427,0
2,0.3303102192019789,0.36666666666666653,0.3402919478888714,0.17406691640058058,0.14285714285714288,0.637580971693662,0.5599999999999999,0.6,0.3293433652530781,0.5145555555555555,0.5383333333333333,0.2973061027711121,0.1714074074074074,0.175,0.04109572547098271,-0.3319575823499964,0.22857319917817573,0
3,0.27806315849372043,0.4473684210526316,0.5926856066551561,0.13589993660173294,0.1084018801410106,0.3123627452076766,0.5263157894736842,0.6,0.3808706287106461,0.5083310249307479,0.5181578947368422,0.3583969034249419,0.15714219759926132,0.15,0.07324602119227258,-0.34467734190031757,-0.11276717206206639,0
4,0.2877711069076164,0.5333333333333333,0.4250510123999373,0.1906193321947637,0.12904717853839034,0.8907202864292484,0.57,0.5,0.3013850889192887,0.5320555555555555,0.5249999999999999,0.5727320581746912,0.14,0.13333333333333336,0.0586805185123555,-0.4659810212958767,0.4177763137611598,0
5,0.2753345943202505,0.5,0.37984617799403547,0.15513268800260774,0.11830547998445395,0.8330185539876998,0.5866666666666667,0.6,0.2274281805745554,0.4733333333333333,0.5033333333333334,0.5875093434538959,0.14414814814814814,0.12833333333333335,0.06817026272155287,-0.41900058756530584,0.4399815300193368,0
6,0.3853063324624577,0.5641025641025641,1.0,0.13532721781839116,0.10869565217391304,0.3462268453213035,0.5384615384615384,0.6,0.4138589198978717,0.5463379355687048,0.5570512820512821,0.2135809358680712,0.15018628095551173,0.14871794871794872,0.02247326660593286,-0.6476377746542402,-0.256635530357123,-1
7,0.3570470965560956,0.4666666666666667,0.175653886217377,0.0869094482661494,0.07442396313364055,0.1835176547716112,0.4733333333333333,0.35,0.8594391244870039,0.4741666666666667,0.4875,0.2363342635086523,0.085,0.08333333333333333,0.004047150256912482,-0.09756592489755288,-0.3948660198571855,0
8,0.2376727613107136,0.26666666666666666,0.0549364307016167,0.037275041416429434,0.03219133807369101,0.0,0.26666666666666666,0.2,0.271545827633379,0.4452777777777778,0.475,0.29159865884198816,0.08962962962962963,0.08333333333333333,0.006776912986269795,0.10816604295962086,-0.314351711077111,0
9,0.125677058422215,0.2647058823529412,0.03781338736604785,0.08358726958489264,0.0577962577962578,0.3203467548643887,0.3705882352941177,0.3,0.4974743410608866,0.4289100346020761,0.4485294117647059,0.1197521538981956,0.07870530565167244,0.07340686274509804,0.0,0.023088726820331876,-0.0906348788933614,0
10,0.02122813349096853,0.3333333333333333,0.017265735363365245,0.15216670016656142,0.1386138613861386,0.11825777200182278,0.8,0.8,0.0902872777017784,0.3905555555555555,0.3875,0.3020012361883241,0.17555555555555555,0.16666666666666669,0.13168526351488344,0.050351602398925645,0.14506337835377772,0
11,0.17832683291131135,0.5,0.4222257102495683,0.15008074630324858,0.11843088418430885,0.3179920240014413,0.72,0.7,0.26675786593707257,0.4483333333333333,0.4833333333333333,0.3446196257491294,0.16416666666666668,0.15000000000000002,0.11829710174056987,-0.26598325510510007,0.05133964192005775,0
