Answer,Problem,group_number,Class,SD,AvgPSAR,AvgPSS,AvgPSNS,PSDAR,PSDS,PSDNS,AvgCS,AvgB,AvgPS,AvgConf,AvgDiff
820,KP_1,1,0,0.13333333333333333,0.2116666666666667,0.345,0.19115384615384615,-0.07833333333333337,-0.21166666666666664,-0.057820512820512815,0.3712313872287132,0.06557407407407408,0.18500000000000003,0.6000000000000001,0.95
435,KP_1,1,1,0.36666666666666664,0.2303333333333334,0.2827272727272727,0.20000000000000004,0.13633333333333325,0.08393939393939392,0.1666666666666666,0.3697107335336387,0.057710437710437705,0.4509090909090909,0.5363636363636364,0.4272727272727273
700,KP_1,1,0,0.3333333333333333,0.16599999999999998,0.288,0.10500000000000001,0.16733333333333333,0.04533333333333334,0.2283333333333333,0.20749570529811842,0.02734851851851851,0.5139999999999999,0.47999999999999987,0.65
530,KP_1,1,0,0.16666666666666666,0.16666666666666663,0.22800000000000004,0.15439999999999998,2.7755575615628914e-17,-0.06133333333333338,0.012266666666666676,0.28656745673090467,0.03269407407407408,0.4,0.54,0.6599999999999999
220,KP_1,1,0,0.0,0.14533333333333331,0.0,0.14533333333333331,-0.14533333333333331,0.0,-0.14533333333333331,0.0,0.0,0.0,0.0,0.0
other,KP_1,1,0,0.0,0.07999999999999999,0.0,0.07999999999999999,-0.07999999999999999,0.0,-0.07999999999999999,0.0,0.0,0.0,0.0,0.0
820,KP_1,2,0,0.0,0.2053333333333333,0.0,0.2053333333333333,-0.2053333333333333,0.0,-0.2053333333333333,0.0,0.0,0.0,0.0,0.0
435,KP_1,2,1,0.3333333333333333,0.22233333333333336,0.333,0.167,0.11099999999999996,0.0003333333333332966,0.1663333333333333,0.4002522910066052,0.05032962962962963,0.36300000000000004,0.48999999999999994,0.61
700,KP_1,2,0,0.36666666666666664,0.22899999999999998,0.3709090909090909,0.14684210526315788,0.13766666666666666,-0.00424242424242427,0.21982456140350876,0.3618037570695916,0.05407912457912459,0.5372727272727273,0.6909090909090909,0.6000000000000001
530,KP_1,2,0,0.26666666666666666,0.12766666666666665,0.13125,0.12636363636363634,0.139,0.13541666666666666,0.14030303030303032,0.402722076982967,0.05656574074074075,0.38249999999999995,0.525,0.44999999999999996
220,KP_1,2,0,0.0,0.14766666666666667,0.0,0.14766666666666667,-0.14766666666666667,0.0,-0.14766666666666667,0.0,0.0,0.0,0.0,0.0
other,KP_1,2,0,0.03333333333333333,0.068,0.2,0.06344827586206897,-0.03466666666666667,-0.16666666666666669,-0.030114942528735637,0.2997136917136918,0.026574074074074073,0.35,0.1,1.0
820,KP_1,3,0,0.10526315789473684,0.12657894736842107,0.2825,0.10823529411764708,-0.021315789473684232,-0.17723684210526314,-0.002972136222910246,0.31004949974825646,0.03774235918744229,0.6975,0.65,0.625
435,KP_1,3,1,0.4473684210526316,0.25078947368421056,0.33294117647058824,0.1842857142857143,0.19657894736842102,0.11442724458204334,0.26308270676691725,0.40773598641149034,0.06428247786649285,0.47000000000000003,0.5529411764705883,0.5941176470588235
700,KP_1,3,0,0.3157894736842105,0.1723684210526316,0.26583333333333337,0.12923076923076923,0.14342105263157892,0.04995614035087714,0.18655870445344128,0.20476459312427428,0.02542510772545399,0.3875,0.4583333333333333,0.6916666666666668
530,KP_1,3,0,0.10526315789473684,0.12894736842105262,0.33749999999999997,0.10441176470588237,-0.02368421052631578,-0.23223684210526313,0.0008513931888544657,0.3519695041398315,0.054821306555863335,0.34750000000000003,0.5249999999999999,0.7250000000000001
220,KP_1,3,0,0.0,0.12315789473684209,0.0,0.12315789473684209,-0.12315789473684209,0.0,-0.12315789473684209,0.0,0.0,0.0,0.0,0.0
other,KP_1,3,0,0.02631578947368421,0.1981578947368421,0.3,0.19540540540540538,-0.17184210526315788,-0.27368421052631575,-0.16908961593172117,0.3531927564595087,0.042733148661126506,0.25,0.4,0.7
